カセットNo,薬品コード,薬品名称,警告量,剤
1-007,2256,ニフェジピンCR錠 20mg 「トーワ」,20,錠剤
1-010,2381,ベニジピン塩酸塩錠4mg 「サワイ」,20,錠剤
1-011,597,コントミン糖衣錠 100mg,20,錠剤
1-012,669,ジゴシン錠 0.125mg,20,錠剤
1-013,3029,セレコキシブ 錠 100mg 「ニプロ」,30,錠剤
1-014,3056,ハロペリドール錠 3mg「アメル」,20,錠剤
1-015,2432,クエチアピン錠 100mg「アメル」,20,錠剤
1-016,920,チラーヂンS錠 50μg,30,錠剤
1-017,326,エビリファイ錠 12mg,0,錠剤
1-018,2440,ベラプロストNa錠 20μg「NIG」,0,錠剤
1-023,2258,ニフェジピンCR錠 40mg 「トーワ」,0,錠剤
1-024,2458,トラゾドン塩酸塩錠 50mg「アメル」,0,錠剤
1-025,490,カロナール錠500mg,0,錠剤
1-028,3207,エルデカルシトールカプセル0.5μg「サワイ」,0,カプセル
1-030,3423,エスシタロプラム錠 10mg「トーワ」,0,錠剤
1-031,113,アムロジピンOD錠 5mg「トーワ」,200,錠剤
1-033,2465,リスペリドンOD錠 1mg「トーワ」,0,錠剤
1-034,112,アムロジピンOD錠 2.5mg「トーワ」,20,錠剤
1-043,2431,クエチアピン錠 25mg「アメル」,20,錠剤
1-045,3087,(糖)グリメピリド錠 0.5mg「NP」,0,錠剤
1-053,3269,ミルタザピン錠 15mg「明治」,20,錠剤
1-054,2433,クエチアピン錠 200mg「アメル」,20,錠剤
1-055,2657,アルファカルシドール錠 0.25μg「アメル」,20,錠剤
1-056,2841,オルケディア錠 1mg,0,錠剤
1-057,2575,ビムパット錠 100mg,20,錠剤
1-059,1649,(糖)メトグルコ錠 250mg,150,錠剤
1-060,3035,ガランタミンOD錠 4mg「アメル」,0,錠剤
1-061,3346,炭酸リチウム錠 200mg「大正」,20,錠剤
1-065,2467,リスペリドンOD錠 2mg「トーワ」,20,錠剤
1-066,2913,シロドシンOD錠 4mg「ケミファ」,0,錠剤
1-067,2626,オランザピンOD錠 10mg「トーワ」,10,錠剤
1-068,2624,オランザピンOD錠 5mg「トーワ」,10,錠剤
1-070,124,アリナミンF糖衣錠 25mg,0,錠剤
1-075,3383,アジルサルタン錠 20mg「ニプロ」,20,錠剤
1-077,2379,ドキサゾシン錠 1mg「テバ」,0,錠剤
1-078,2389,アゾセミド錠 30mg「JG」,30,錠剤
1-079,2423,エピナスチン塩酸塩錠 20mg「トーワ」,0,錠剤
1-082,336,エブランチルカプセル 15mg,0,カプセル
1-084,1310,フォリアミン錠 5mg,0,錠剤
1-085,2689,クロピドグレル錠 75mg「トーワ」,0,錠剤
1-086,2702,シルニジピン錠 10mg「サワイ」,0,錠剤
1-087,332,エフィエント錠 3.75mg,0,錠剤
1-088,342,エリキュース錠2.5mg,20,錠剤
1-089,2279,クエン酸第一鉄Na錠50mg「サワイ」,20,錠剤
1-090,519,(糖)グラクティブ錠 50mg,20,錠剤
1-091,2688,クロピドグレル錠 25mg「トーワ」,0,錠剤
1-092,3084,タムスロシン塩酸塩OD錠0.2mg「トーワ」,0,錠剤
1-093,2171,タケキャブ錠 20mg,30,錠剤
1-094,2730,リクシアナOD錠 30mg,20,錠剤
1-095,2510,ビソプロロールフマル酸塩錠 0.625mg,20,錠剤
1-096,2512,ビソプロロールフマル酸塩錠 2.5mg,30,錠剤
