ファイル名,カセットNo,薬品コード,薬品名称,現在量,警告量,前回登録日,カセットNo_OK,薬品コード_OK,現在量_OK,警告量_OK,前回登録日_OK,前回登録日_dt
kasetto.jpg,1-090,000519,(糖)ｸﾞﾗｸﾗｲﾌﾞ錠 50mg,185,20,2025/10/02,True,True,True,True,True,2025-10-02
kasetto.jpg,1-045,003087,(糖)ｸﾞﾘﾒﾋﾞﾄﾞ錠 0.5mg「NP」,0,0,-,True,True,True,True,True,
kasetto.jpg,1-225,002406,(糖)ｼﾞｬﾃﾞｨｱﾝｽ錠 10mg,178,20,2025/10/02,True,True,True,True,True,2025-10-02
kasetto.jpg,1-223,000982,(糖)ﾃﾈﾘｱ錠 20mg,219,20,2025/10/02,True,True,True,True,True,2025-10-02
kasetto.jpg,1-224,002842,(糖)ﾌｫｼｰｶﾞ錠 5mg,318,20,2025/10/02,True,True,True,True,True,2025-10-02
kasetto.jpg,1-059,001649,(糖)ﾒﾄﾞｸﾞﾙｺ錠 250mg,490,150,2025/09/30,True,True,True,True,True,2025-09-30
kasetto.jpg,1-111,002252,一硝酸ｲｿﾙﾋﾞﾄﾞ錠20mg「ｻﾜｲ」,5,0,2025/06/26,True,True,True,True,True,2025-06-26
kasetto.jpg,1-061,003346,炭酸ﾘﾁｳﾑ錠 200mg「大正」,188,20,2025/10/02,True,True,True,True,True,2025-10-02
kasetto.jpg,1-158,002265,沈降炭酸ｶﾙｼｳﾑ錠 500mg「三」,121,20,2025/07/01,True,True,True,True,True,2025-07-01
kasetto.jpg,1-110,000004,ｱｰﾃﾝ錠 2mg,14,0,2025/09/01,True,True,True,True,True,2025-09-01
kasetto.jpg,1-112,000016,ｱｷﾈﾄﾝ錠 1mg,23,20,2025/10/01,True,True,True,True,True,2025-10-01
kasetto.jpg,1-218,002438,ｱｼｸﾛﾋﾞﾙ錠 200mg「ﾄｰﾜ」,134,0,2025/10/02,True,True,True,True,True,2025-10-02
kasetto.jpg,1-075,003383,ｱｼﾞﾙｻﾙﾀﾝ錠 20mg「ﾆﾌﾟﾛ」,181,20,2025/10/02,True,True,True,True,True,2025-10-02
