ファイル名,薬品コード,剤,薬品名称,使用量,薬品コード_OK,使用量_OK
Usage_1_1.jpg,000000,None,None,,True,True
Usage_1_1.jpg,001649,錠剤,メトグルコ錠,362,True,True
Usage_1_1.jpg,002575,錠剤,ビムハペット錠,393,True,True
Usage_1_1.jpg,002841,錠剤,オルケディア錠,27,True,True
Usage_1_1.jpg,002657,錠剤,アルファカルシドール錠,565,True,True
Usage_1_1.jpg,002433,錠剤,クエチアピン錠,140,True,True
Usage_1_1.jpg,003269,錠剤,ミルタザピン錠,522,True,True
Usage_1_1.jpg,003087,錠剤,グリベンクラミド錠,53,True,True
Usage_1_1.jpg,002431,錠剤,クエチアピン錠,453,True,True
Usage_1_1.jpg,000112,錠剤,アモロジピンOD錠,315,True,True
Usage_1_1.jpg,002465,錠剤,リスペリドンOD錠,249,True,True
Usage_1_1.jpg,000113,錠剤,アモロジピンOD錠,1848,True,True
Usage_1_1.jpg,003423,錠剤,エスシタロプラム錠,62,True,True
Usage_1_1.jpg,003207,錠剤,エルデカルトプラゼル,249,True,True
Usage_1_1.jpg,000490,錠剤,カロナール錠,817,True,True
Usage_1_1.jpg,000000,None,None,,True,True
Usage_1_2.jpg,000000,None,None,,True,True
Usage_1_2.jpg,002458,剤,トラバドン塩酸塩錠,125,True,True
Usage_1_2.jpg,002258,剤,ニフェジピンCR錠,418,True,True
Usage_1_2.jpg,002440,剤,ベラプラストNa錠,35,True,True
Usage_1_2.jpg,000326,剤,エビリファイ錠,19,True,True
Usage_1_2.jpg,000920,剤,チラージンS錠,184,True,True
Usage_1_2.jpg,002432,剤,クエチアピン錠,307,True,True
Usage_1_2.jpg,003056,剤,ハロペリドール錠,0,True,True
Usage_1_2.jpg,003029,剤,セレコキシブ錠,132,True,True
Usage_1_2.jpg,000669,剤,ジゴシン錠,48,True,True
Usage_1_2.jpg,000597,剤,コントミン糖衣錠,71,True,True
Usage_1_2.jpg,002381,剤,ベニジピン塩酸塩錠,244,True,True
Usage_1_2.jpg,002256,剤,ニフェジピンCR錠,283,True,True
Usage_1_2.jpg,000000,None,None,,True,True
Usage_2_1.jpg,000000,None,None,,True,True
Usage_2_1.jpg,001071,錠剤,ニコランジル錠 5mg「トーワ」,544,True,True
Usage_2_1.jpg,000985,錠剤,デバケンR錠 200mg,430,True,True
Usage_2_1.jpg,002785,カプセル,トラネキサム酸カプセル250mg「トーワ」,297,True,True
Usage_2_1.jpg,003102,錠剤,プレカバリンOD錠 25mg「サワイ」,252,True,True
Usage_2_1.jpg,003103,錠剤,プレカバリンOD錠 75mg「サワイ」,643,True,True
Usage_2_1.jpg,002425,カプセル,プランルカプセル 112.5mg「サワイ」,0,True,True
Usage_2_1.jpg,002392,錠剤,イミダプリル塩酸塩錠5mg「トーワ」,42,True,True
Usage_2_1.jpg,002869,錠剤,ベタヒスチン錠 50mg,315,True,True
Usage_2_1.jpg,003189,錠剤,テルミサルタン錠 40mg「トーワ」,452,True,True
Usage_2_1.jpg,002383,錠剤,ニコルモン錠 5mg「トーワ」,0,True,True
