ファイル名,カセットNo,薬品コード,薬品名称,現在量,警告量,前回登録日,カセットNo_OK,薬品コード_OK,現在量_OK,警告量_OK,前回登録日_OK,前回登録日_dt
cut_part_1.jpg,1-164,001637,メジコン錠 15mg,28,20,2025/10/08,True,True,True,True,True,2025-10-08
cut_part_1.jpg,1-163,001644,メチコバール錠 500μg,360,20,2025/10/28,True,True,True,True,True,2025-10-28
cut_part_1.jpg,1-122,002522,モサプリドクエン酸塩錠5mg「日医工」,147,20,2025/10/02,True,True,True,True,True,2025-10-02
cut_part_1.jpg,1-201,001681,ユベラNカプセル 100mg,127,0,2025/10/02,True,True,True,True,True,2025-10-02
cut_part_2.jpg,1-151,002330,ラベプラゾールNa塩錠10mg「明治」,95,20,2025/10/30,True,True,True,True,True,2025-10-30
cut_part_2.jpg,1-215,003286,ラメルテオン錠 8mg「武田テバ」,46,0,2025/10/09,True,True,True,True,True,2025-10-09
cut_part_2.jpg,1-203,002187,ランソプラゾールOD錠15mg「トーワ」,298,200,2025/10/29,True,True,True,True,True,2025-10-29
cut_part_3.jpg,1-233,002188,ランソプ ラゾールOD錠30mg「トーワ」,6,20,2025/09/02,True,True,True,True,True,2025-09-02
cut_part_4.jpg,1-222,001716,リオナ錠 250mg,10,20,2025/10/29,True,True,True,True,True,2025-10-29
cut_part_4.jpg,1-094,002730,リクシアナOD錠 30mg,53,20,2025/09/01,True,True,True,True,True,2025-09-01
cut_part_5.jpg,1-033,002465,リスペリドンOD錠 1mg「トーワ」,151,0,2025/09/01,True,True,True,True,True,2025-09-01
cut_part_5.jpg,1-065,002467,リスペリドンOD錠 2mg「トーワ」,17,20,2025/10/10,True,True,True,True,True,2025-10-10
cut_part_5.jpg,1-178,001751,リボトリール錠 0.5mg,495,20,2025/10/29,True,True,True,True,True,2025-10-29
cut_part_6.jpg,1-180,002263,リマプロストアルファデクス錠 5μg,148,0,2025/10/09,True,True,True,True,True,2025-10-09
cut_part_6.jpg,1-173,001780,ルプラック錠 8mg,24,0,2025/02/26,True,True,True,True,True,2025-02-26
cut_part_6.jpg,1-197,001783,レキソタン錠 2mg,28,0,2024/06/19,True,True,True,True,True,2024-06-19
cut_part_6.jpg,1-179,001784,レキソタン錠 5mg,4,0,2024/06/19,True,True,True,True,True,2024-06-19
cut_part_6.jpg,1-181,003144,レバミピド錠 100mg「オーツカ」,236,20,2025/09/01,True,True,True,True,True,2025-09-01
cut_part_6.jpg,1-234,003201,レベチラセタム錠 500mg「日医工」,22,20,2025/10/15,True,True,True,True,True,2025-10-15
cut_part_6.jpg,1-171,001810,レボトミン錠 25mg,38,0,2025/02/26,True,True,True,True,True,2025-02-26
cut_part_7.jpg,1-199,001812,レボトミン錠 5mg,2,0,2025/10/29,True,True,True,True,True,2025-10-29
cut_part_7.jpg,1-182,001830,ロキソプロフェンNa錠60mg「トーワ」,223,20,2025/09/01,True,True,True,True,True,2025-09-01
cut_part_7.jpg,1-148,003168,ロサルタンK錠 50mg「DSEP」,42,20,2025/09/02,True,True,True,True,True,2025-09-02
cut_part_7.jpg,1-230,003622,ロスバスタチン錠 2.5mg「トーワ」,238,0,2025/10/29,True,True,True,True,True,2025-10-29
cut_part_7.jpg,1-162,002506,ロフラゼフ酸エチル錠 1mg 「トーワ」,4,0,2025/08/05,True,True,True,True,True,2025-08-05
cut_part_7.jpg,1-184,001850,ロラゼパム錠 0.5mg「サワイ」,15,20,2025/10/11,True,True,True,True,True,2025-10-11
cut_part_7.jpg,1-200,001855,ワーファリン錠 1mg,167,20,2025/09/02,True,True,True,True,True,2025-09-02
