ファイル名,カセットNo,薬品コード,薬品名称,現在量,警告量,前回登録日,カセットNo_OK,薬品コード_OK,現在量_OK,警告量_OK,前回登録日_OK,前回登録日_dt
cut_part_1.jpg,1-090,519,(糖)ｸﾞﾗｸﾃｨﾌﾞ錠 50mg,185,20,2025/10/2,TRUE,TRUE,TRUE,TRUE,TRUE,2025/10/2
cut_part_1.jpg,1-045,3087,(糖)ｸﾞﾘﾒﾋﾟﾘﾄﾞ錠 0.5mg「NP」,0,0,//,TRUE,TRUE,TRUE,TRUE,TRUE,
cut_part_1.jpg,1-225,2406,(糖)ｼﾞｬﾃﾞｨｱﾝｽ錠 10mg,178,20,2025/10/2,TRUE,TRUE,TRUE,TRUE,TRUE,2025/10/2
cut_part_1.jpg,1-223,982,(糖)ﾃﾈﾘｱ錠 20mg,219,20,2025/10/2,TRUE,TRUE,TRUE,TRUE,TRUE,2025/10/2
cut_part_1.jpg,1-224,2842,(糖)ﾌｫｼｰｶﾞ錠 5mg,318,20,2025/10/2,TRUE,TRUE,TRUE,TRUE,TRUE,2025/10/2
cut_part_1.jpg,1-059,1649,(糖)ﾒﾄｸﾞﾙｺ錠 250mg,490,150,2025/9/30,TRUE,TRUE,TRUE,TRUE,TRUE,2025/9/30
cut_part_1.jpg,1-111,2252,一硝酸ｲｿﾙﾋﾞﾄﾞ錠20mg「ｻﾜｲ」,5,0,2025/6/26,TRUE,TRUE,TRUE,TRUE,TRUE,2025/6/26
cut_part_2.jpg,1-061,3346,炭酸ﾘﾁｳﾑ錠 200mg「大正」,188,20,2025/10/2,TRUE,TRUE,TRUE,TRUE,TRUE,2025/10/2
cut_part_2.jpg,1-158,2265,沈降炭酸カルシウム錠 500mg 「三,121,20,2025/7/1,TRUE,TRUE,TRUE,TRUE,TRUE,2025/7/1
cut_part_2.jpg,1-110,4,ｱｰﾃﾝ錠 2mg,14,0,2025/9/1,TRUE,TRUE,TRUE,TRUE,TRUE,2025/9/1
cut_part_2.jpg,1-112,16,ｱｷﾈﾄﾝ錠 1mg,23,20,2025/10/1,TRUE,TRUE,TRUE,TRUE,TRUE,2025/10/1
cut_part_2.jpg,1-218,2438,ｱｼｸﾛﾋﾞﾙ錠 200mg「ﾄｰﾜ」,134,0,2025/10/2,TRUE,TRUE,TRUE,TRUE,TRUE,2025/10/2
cut_part_2.jpg,1-075,3383,ｱｼﾞﾙｻﾙﾀﾝ錠 20mg「ﾆﾌﾟﾛ」,181,20,2025/10/2,TRUE,TRUE,TRUE,TRUE,TRUE,2025/10/2
cut_part_2.jpg,1-113,42,ｱｽﾄﾐﾝ錠 10mg,12,0,2025/4/11,TRUE,TRUE,TRUE,TRUE,TRUE,2025/4/11
cut_part_3.jpg,1-114,47,ｱｽﾊﾟﾗｰCA錠 200mg,23,0,2024/7/31,TRUE,TRUE,TRUE,TRUE,TRUE,2024/7/31
cut_part_3.jpg,1-078,2389,ｱｿﾞｾﾐﾄﾞ錠 30mg「JG」,335,30,2025/10/2,TRUE,TRUE,TRUE,TRUE,TRUE,2025/10/2
cut_part_3.jpg,1-185,3145,ｱﾄﾙﾊﾞｽﾀﾁﾝ錠 10mg「NP」,239,20,2025/10/2,TRUE,TRUE,TRUE,TRUE,TRUE,2025/10/2
cut_part_3.jpg,1-115,73,ｱﾄﾞﾅ錠 30mg,89,0,2025/9/2,TRUE,TRUE,TRUE,TRUE,TRUE,2025/9/2
cut_part_3.jpg,1-034,112,ｱﾑﾛｼﾞﾋﾟﾝOD錠 2.5mg「ﾄｰﾜ」,158,20,2025/9/1,TRUE,TRUE,TRUE,TRUE,TRUE,2025/9/1
cut_part_3.jpg,1-031,113,ｱﾑﾛｼﾞﾋﾟﾝOD錠 5mg「ﾄｰﾜ」,310,200,2025/10/1,TRUE,TRUE,TRUE,TRUE,TRUE,2025/10/1
cut_part_3.jpg,1-070,124,ｱﾘﾅﾐﾝF糖衣錠 25mg,200,0,2025/9/1,TRUE,TRUE,TRUE,TRUE,TRUE,2025/9/1
cut_part_3.jpg,1-116,132,ｱﾙﾀﾞｸﾄﾝA錠 25mg,281,20,2025/10/2,TRUE,TRUE,TRUE,TRUE,TRUE,2025/10/2
cut_part_4.jpg,1-055,2657,ｱﾙﾌﾌｧｶﾙｼﾄﾞｰﾙ錠 0.25μg「ｱﾒﾙ」,168,20,2025/10/2,TRUE,TRUE,TRUE,TRUE,TRUE,2025/10/2
cut_part_4.jpg,1-117,170,ｱﾛﾌﾟﾘﾉｰﾙ錠 100mg「ﾆﾌﾟﾛ」,52,0,2025/9/2,TRUE,TRUE,TRUE,TRUE,TRUE,2025/9/2
cut_part_4.jpg,1-161,2402,ｱﾝﾌﾞﾛｷｿｰﾙ塩酸塩錠15mg「ﾄｰﾜ」,164,0,2025/10/2,TRUE,TRUE,TRUE,TRUE,TRUE,2025/10/2
cut_part_4.jpg,1-131,2392,ｲﾐﾀﾞﾌﾟﾘﾙ塩酸塩錠5mg「ﾄｰﾜ」,10,0,2025/7/27,TRUE,TRUE,TRUE,TRUE,TRUE,2025/7/27
cut_part_4.jpg,1-118,2374,ｳﾙｿﾃﾞｵｷｼｺｰﾙ酸錠 100mg「ﾄｰﾜ」,385,20,2025/7/15,TRUE,TRUE,TRUE,TRUE,TRUE,2025/7/15
cut_part_4.jpg,1-030,3423,ｴｽｼﾀﾛﾌﾟﾗﾑ錠 10mg「ﾄｰﾜ」,77,0,2025/9/2,TRUE,TRUE,TRUE,TRUE,TRUE,2025/9/2
cut_part_4.jpg,1-219,3027,ｴｾﾞﾁﾐﾌﾞ錠 10mg「YD」,218,20,2025/10/2,TRUE,TRUE,TRUE,TRUE,TRUE,2025/10/2
cut_part_4.jpg,1-189,311,ｴﾁｿﾞﾗﾑ錠0.5mg,62,20,2025/10/2,TRUE,TRUE,TRUE,TRUE,TRUE,2025/10/2
cut_part_5.jpg,1-119,312,ｴﾁｿﾞﾗﾑ錠1mg,17,0,2025/9/17,TRUE,TRUE,TRUE,TRUE,TRUE,2025/9/17
cut_part_5.jpg,1-017,326,ｴﾋﾞﾘﾌｧｲ錠 12mg,31,0,2025/8/19,TRUE,TRUE,TRUE,TRUE,TRUE,2025/8/19
cut_part_5.jpg,1-009,327,ｴﾋﾞﾘﾌｧｲ錠 6mg,105,20,2025/10/4,TRUE,TRUE,TRUE,TRUE,TRUE,2025/10/4
cut_part_5.jpg,1-079,2423,ｴﾋﾟﾅｽﾁﾝ塩酸塩錠 20mg「ﾄｰﾜ」,3,0,2025/9/15,TRUE,TRUE,TRUE,TRUE,TRUE,2025/9/15
cut_part_5.jpg,1-087,332,ｴﾌｨｴﾝﾄ錠 3.75mg,153,0,2025/10/2,TRUE,TRUE,TRUE,TRUE,TRUE,2025/10/2
cut_part_5.jpg,1-082,336,ｴﾌﾞﾗﾝﾁﾙｶﾌﾟｾﾙ 15mg,232,0,2025/10/2,TRUE,TRUE,TRUE,TRUE,TRUE,2025/10/2
cut_part_5.jpg,1-088,342,ｴﾘｷｭｰｽ錠2.5mg,165,20,2025/10/2,TRUE,TRUE,TRUE,TRUE,TRUE,2025/10/2
cut_part_5.jpg,1-028,3207,ｴﾙﾃﾞｶﾙｼﾄｰﾙｶﾌﾟｾﾙ0.5μg「ｻﾜｲ」,96,0,2025/10/2,TRUE,TRUE,TRUE,TRUE,TRUE,2025/10/2
cut_part_6.jpg,1-217,3096,ｴﾝﾚｽﾄ錠 100mg,268,20,2025/10/2,TRUE,TRUE,TRUE,TRUE,TRUE,2025/10/2
cut_part_6.jpg,1-221,3282,ｴﾝﾚｽﾄ錠 200mg,173,20,2025/10/2,TRUE,TRUE,TRUE,TRUE,TRUE,2025/10/2
cut_part_6.jpg,1-067,2626,ｵﾗﾝｻﾞ ﾋﾟﾝOD錠 10mg「ﾄｰﾜ」,62,10,2025/9/1,TRUE,TRUE,TRUE,TRUE,TRUE,2025/9/1
cut_part_6.jpg,1-068,2624,ｵﾗﾝｻﾞ ﾋﾟﾝOD錠 5mg「ﾄｰﾜ」,183,10,2025/10/2,TRUE,TRUE,TRUE,TRUE,TRUE,2025/10/2
cut_part_6.jpg,1-056,2841,ｵﾙｹﾃﾞｨｱ錠 1mg,127,0,2025/9/2,TRUE,TRUE,TRUE,TRUE,TRUE,2025/9/2
cut_part_6.jpg,1-100,2747,ｵﾙﾒｻﾙﾀﾝOD錠 20mg「ﾄｰﾜ」,163,30,2025/9/3,TRUE,TRUE,TRUE,TRUE,TRUE,2025/9/3
