ファイル名,カセットNo,薬品コード,薬品名称,現在量,警告量,前回登録日,カセットNo_OK,薬品コード_OK,現在量_OK,警告量_OK,前回登録日_OK,前回登録日_dt
cut_part_1.jpg,1-090,000519,(糖)グラクティブ錠 50mg,185,20,2025/10/02,True,True,True,True,True,2025-10-02
cut_part_1.jpg,1-045,003087,(糖)グリメピリド錠 0.5mg「NP」,0,0,/,True,True,True,True,True,
cut_part_1.jpg,1-225,002406,(糖)ジャディアンス錠 10mg,178,20,2025/10/02,True,True,True,True,True,2025-10-02
cut_part_1.jpg,1-223,000982,(糖)テネリア錠 20mg,219,20,2025/10/02,True,True,True,True,True,2025-10-02
cut_part_1.jpg,1-224,002842,(糖)フォシーガ錠 5mg,318,20,2025/10/02,True,True,True,True,True,2025-10-02
cut_part_1.jpg,1-059,001649,(糖)メトグルコ錠 250mg,490,150,2025/09/30,True,True,True,True,True,2025-09-30
cut_part_1.jpg,1-111,002252,一硝酸イソルビド錠20mg「サワイ,5,0,2025/06/26,True,True,True,True,True,2025-06-26
cut_part_1.jpg,1-061,003346,炭酸リチウム錠 200mg「大正」,188,20,2025/10/02,True,True,True,True,True,2025-10-02
cut_part_1.jpg,1-158,002265,沈降炭酸カルシウム錠 500mg「三,121,20,2025/07/01,True,True,True,True,True,2025-07-01
cut_part_1.jpg,1-110,000004,アーテン錠 2mg,14,0,2025/09/01,True,True,True,True,True,2025-09-01
cut_part_1.jpg,1-112,000016,アキネトン錠 1mg,23,20,2025/10/01,True,True,True,True,True,2025-10-01
cut_part_1.jpg,1-218,002438,アシクロビル錠 200mg「トーワ」,134,0,2025/10/02,True,True,True,True,True,2025-10-02
cut_part_1.jpg,1-075,003383,アジルサルタン錠 20mg「ニプロ」,181,20,2025/10/02,True,True,True,True,True,2025-10-02
cut_part_2.jpg,1-113,000042,アストミン錠 10mg,12,0,2025/04/11,True,True,True,True,True,2025-04-11
cut_part_2.jpg,1-114,000047,アスパラ-CA錠 200mg,23,0,2024/07/31,True,True,True,True,True,2024-07-31
cut_part_2.jpg,1-078,002389,アゾセミド錠 30mg「JG」,335,30,2025/10/02,True,True,True,True,True,2025-10-02
cut_part_2.jpg,1-185,003145,アトルバスタチン錠 10mg「NP」,239,20,2025/10/02,True,True,True,True,True,2025-10-02
cut_part_2.jpg,1-115,000073,アドナ錠 30mg,89,0,2025/09/02,True,True,True,True,True,2025-09-02
cut_part_2.jpg,1-034,000112,アムロジピンOD錠 2.5mg「トーワ」,158,20,2025/09/01,True,True,True,True,True,2025-09-01
cut_part_2.jpg,1-031,000113,アムロジピンOD錠 5mg「トーワ」,310,200,2025/10/01,True,True,True,True,True,2025-10-01
cut_part_2.jpg,1-070,000124,アリナミンF糖衣錠 25mg,200,0,2025/09/01,True,True,True,True,True,2025-09-01
cut_part_2.jpg,1-116,000132,アルダクトンA錠 25mg,281,20,2025/10/02,True,True,True,True,True,2025-10-02
cut_part_2.jpg,1-055,002657,アルファカルシドール錠 0.25μg「アメル」,168,20,2025/10/02,True,True,True,True,True,2025-10-02
cut_part_2.jpg,1-117,000170,アロプリノール錠 100mg「ニプロ」,52,0,2025/09/02,True,True,True,True,True,2025-09-02
cut_part_2.jpg,1-161,002402,アンブロキソール塩酸塩錠15mg「トーワ」,164,0,2025/10/02,True,True,True,True,True,2025-10-02
cut_part_2.jpg,1-131,002392,イミダプリル塩酸塩錠5mg「トーワ」,10,0,2025/07/27,True,True,True,True,True,2025-07-27
cut_part_2.jpg,1-118,002374,ウルソデオキシコール酸錠 100mg「トーワ」,385,20,2025/07/15,True,True,True,True,True,2025-07-15
cut_part_2.jpg,1-030,003423,エスシタロプラム錠 10mg「トーワ」,77,0,2025/09/02,True,True,True,True,True,2025-09-02
cut_part_3.jpg,1-219,003027,エゼチミブ錠 10mg「YD」,218,20,2025/10/02,True,True,True,True,True,2025-10-02
cut_part_3.jpg,1-189,000311,エチゾラム錠0.5mg,62,20,2025/10/02,True,True,True,True,True,2025-10-02
cut_part_3.jpg,1-119,000312,エチゾラム錠1mg,17,0,2025/09/17,True,True,True,True,True,2025-09-17
cut_part_3.jpg,1-017,000326,エビリファイ錠 12mg,31,0,2025/08/19,True,True,True,True,True,2025-08-19
cut_part_3.jpg,1-009,000327,エビリファイ錠 6mg,105,20,2025/10/04,True,True,True,True,True,2025-10-04
cut_part_3.jpg,1-079,002423,エピナスチン塩酸塩錠 20mg「トーワ」,3,0,2025/09/15,True,True,True,True,True,2025-09-15
cut_part_3.jpg,1-087,000332,エフィエント錠 3.75mg,153,0,2025/10/02,True,True,True,True,True,2025-10-02
cut_part_3.jpg,1-082,000336,エブラシチルカプセル 15mg,232,0,2025/10/02,True,True,True,True,True,2025-10-02
cut_part_3.jpg,1-088,000342,エリキュース錠2.5mg,165,20,2025/10/02,True,True,True,True,True,2025-10-02
cut_part_3.jpg,1-028,003207,エルデカルシトールカプセル0.5μg「サワイ」,96,0,2025/10/02,True,True,True,True,True,2025-10-02
cut_part_3.jpg,1-217,003096,エンレスト錠 100mg,268,20,2025/10/02,True,True,True,True,True,2025-10-02
cut_part_3.jpg,1-221,003282,エンレスト錠 200mg,173,20,2025/10/02,True,True,True,True,True,2025-10-02
cut_part_3.jpg,1-067,002626,オランザピンOD錠 10mg 「トーワ」,62,10,2025/09/01,True,True,True,True,True,2025-09-01
cut_part_3.jpg,1-068,002624,オランザピンOD錠 5mg 「トーワ」,183,10,2025/10/02,True,True,True,True,True,2025-10-02
cut_part_3.jpg,1-056,002841,オルケディア錠 1mg,127,0,2025/09/02,True,True,True,True,True,2025-09-02
cut_part_4.jpg,1-100,002747,オルメサルタンOD錠 20mg「トーワ」,163,30,2025/09/03,True,True,True,True,True,2025-09-03
cut_part_4.jpg,1-191,000477,カルバマゼピン錠 100mg「アメル」,409,0,2025/06/02,True,True,True,True,True,2025-06-02
cut_part_4.jpg,1-123,000478,カルバマゼピン錠 200mg「アメル」,35,0,2025/05/02,True,True,True,True,True,2025-05-02
cut_part_4.jpg,1-109,002578,カルベジロール錠 10mg「サワイ」,364,0,2025/09/11,True,True,True,True,True,2025-09-11
cut_part_4.jpg,1-187,002580,カルベジロール錠 2.5mg「サワイ」,192,20,2025/10/02,True,True,True,True,True,2025-10-02
cut_part_4.jpg,1-124,000482,カルボシステイン錠250mg,747,30,2025/10/01,True,True,True,True,True,2025-10-01
cut_part_4.jpg,1-125,000489,カロナール錠 200mg,247,20,2025/09/01,True,True,True,True,True,2025-09-01
cut_part_4.jpg,1-025,000490,カロナール錠500mg,165,0,2025/10/02,True,True,True,True,True,2025-10-02
cut_part_4.jpg,1-237,002644,カンデサルタンOD錠 8mg「サワイ」,129,20,2025/10/02,True,True,True,True,True,2025-10-02
cut_part_4.jpg,1-060,003035,ガランタミンOD錠 4mg「アメル」,104,0,2025/10/02,True,True,True,True,True,2025-10-02
cut_part_4.jpg,1-015,002432,クエチアピン錠 100mg「アメル」,244,20,2025/10/02,True,True,True,True,True,2025-10-02
