ファイル名,label,文字起こし結果,入力トークン,出力トークン,合計トークン
information_1_1.jpg,information,"```
1-105,000599,コンジミン糖衣錠 25mg,1,0,2025/09/17
1-109,002578,カルベジロール錠 10mg「サワイ」,97,0,2025/09/11
1-110,000004,アーテン錠 2mg,33,0,2025/10/06
1-111,002252,一硝酸イソソルビド錠20mg「サワイ」,11,0,2025/10/29
1-112,000016,アキネトン錠 1mg,55,20,2025/10/08
1-113,000042,アストミン錠 10mg,15,0,2025/10/31
1-114,000047,アスパラ-CA錠 200mg,495,0,2025/10/29
1-115,000073,アダラート錠 30mg,89,0,2025/09/02
1-116,000132,アルタクトA錠 25mg,68,20,2025/10/09
1-117,000170,アロプリノール錠 100mg「ニプロ」,25,0,2025/09/02
1-118,002374,ウルソデオキシコール酸錠 100mg「トーワ」,259,20,2025/07/15
1-119,000312,エチゾラム錠1mg,17,0,2025/09/17
1-122,002522,モサプリドクエン酸塩錠5mg「日医工」,147,20,2025/10/02
1-123,000478,カルマベリン錠 200mg「アメル」,35,0,2025/05/02
1-124,000482,カルボシステイン錠250mg,276,30,2025/10/23
```",1734,472,2206
information_1_2.jpg,information,"1-125,000489,カナール錠 200mg,16,20,2025/10/31
1-127,002383,ニセルコリン錠 5mg「トーワ」,43,0,2025/04/14
1-128,003189,テルミサルタン錠 40mg「トーワ」,31,20,2025/10/09
1-129,002869,ベタオー錠 50mg,29,0,2025/10/02
1-131,002392,イミダプリル塩酸塩錠5mg「トーワ」,7,0,2025/10/29
1-133,002425,プランルカストカプセル 112.5mg「サワイ」,39,0,2025/06/11
1-134,003103,プレガバリンOD錠 75mg「サワイ」,113,20,2025/10/02
1-135,003102,プレガバリンOD錠 25mg「サワイ」,3,20,2025/10/24
1-136,002785,トラネキサム酸カプセル250mg「トーワ」,161,0,2025/10/02
1-144,000985,デハケR錠 200mg,21,30,2025/10/29
1-147,001071,ニコランジル錠 5mg「トーワ」,30,20,2025/10/02
1-148,003168,ロサルタンK錠 50mg「DSEP」,42,20,2025/09/02
1-149,001146,バイアスピリン錠 100mg,483,100,2025/10/31
1-151,002330,ラニラピブラーゾNa塩錠10mg「明治」,95,20,2025/10/30
1-154,001333,シンバスタチンNa錠 10mg「ケミファ」,86,10,2025/10/02",1734,494,2228
information_1_3.jpg,information,"```
1-156,003537,ﾄﾘｸﾙﾒﾁｱｼﾄﾞ 2mg「NIG」,32,0,2025/06/17
1-157,001367,ﾌﾟﾚﾄﾞﾆｿﾞﾛﾝ錠 5mg「ﾀｸﾞﾁﾞ」,313,100,2025/10/22
1-158,002265,沈降炭酸ｶﾙｼｳﾑ錠 500mg「三」,65,20,2025/07/01
1-161,002402,ｱﾝﾌﾟﾛｷｼﾙ塩酸塩錠15mg「ﾄｰﾜ」,10,0,2025/10/31
1-162,002506,ﾗﾋﾞﾌﾟﾛｽﾁﾝ酸ｴﾁﾙ錠 1mg「ﾄｰﾜ」,4,0,2025/08/05
1-163,001644,ﾒﾁｺﾊﾞｰﾙ錠 500μg,360,20,2025/10/28
1-164,001637,ﾒﾁﾙｺﾝ錠 15mg,28,20,2025/10/08
1-165,002819,ﾍﾞﾀﾒﾀｿﾝ酪酸塩酸塩錠 6mg「ﾄｰﾜ」,20,20,2025/10/04
1-166,003333,ﾀﾘｰｼﾞｱOD錠 5mg,256,20,2025/10/06
1-167,001276,ﾌｧﾓﾁﾞﾝD錠 10mg「EMEC」,2,20,2025/10/21
1-168,001277,ﾌｧﾓﾁﾞﾝD錠 20mg「EMEC」,5,20,2025/10/02
1-169,002400,ﾎﾞﾗﾌﾟﾚｿﾞﾝOD錠 75mg「ｻﾜｲ」,180,20,2025/10/02
1-170,002500,ｼﾞﾙﾌｪﾑ塩酸塩 Rｶﾌﾟ ｾﾙ 100mg,5,0,2025/10/24
1-171,001810,ﾚﾎﾞﾋﾟﾄﾞﾝ錠 25mg,38,0,2025/02/26
1-173,001780,ﾓﾝﾗｯｸ錠 8mg,24,0,2025/02/26
```",1734,642,2376
information_1_4.jpg,information,"```
1-178,001751,リボトリール錠 0.5mg,495,20,2025/10/29
1-179,001784,レキサルティ錠 5mg,4,0,2024/06/19
1-180,002263,リマプロストアルファデクス錠 5μg,148,0,2025/10/09
1-181,003144,レバミピド錠 100mg「オーツカ」,236,20,2025/09/01
1-182,001830,ロキソプロフェンNa錠60mg「トーワ」,223,20,2025/09/01
1-184,001850,ロラゼパム錠 0.5mg「サワイ」,15,20,2025/10/11
1-185,003145,アトルバスタチン錠 10mg「NP」,88,20,2025/10/02
1-186,001124,ノイロトロピン錠 4単位,72,20,2025/10/02
1-187,002580,カルベジロール錠 2.5mg「サワイ」,28,20,2025/10/30
1-189,000311,エチゾラム錠 0.5mg,22,20,2025/10/29
1-191,000477,クロバザム錠 5mg,不明,0,2025/06/02
1-194,001368,バルプロ酸ナトリウム錠 100mg「アメル」,263,30,2025/10/02
```",1734,400,2134
information_2_1.jpg,information,"```csv
1-007,002256,フェジピンCR錠 20mg「トーワ」,21,20,2025/10/29
1-010,002381,ベニジピン塩酸塩錠4mg「サワイ」,12,20,2025/10/29
1-011,000597,コントミン糖衣錠 100mg,3,20,2025/10/08
1-012,000669,ジゴシン錠 0.125mg,42,20,2025/09/02
1-013,003029,セレコキシブ錠 100mg「ニプロ」,46,30,2025/10/04
1-014,003056,ハロペリドール錠 3mg「アメル」,38,20,2025/06/11
1-015,002432,クエチアピン錠 100mg「アメル」,148,20,2025/10/02
1-016,000920,チラージンS錠 50μg,24,30,2025/10/02
1-017,000326,エビリファイ錠 12mg,14,0,2025/08/19
1-018,002440,ベラプロストNa錠 20μg「NIG」,55,0,2025/05/01
1-023,002258,ニフェジピンCR錠 40mg「トーワ」,14,0,2025/10/29
1-024,002458,トラゾドン塩酸塩錠 50mg「アメル」,26,0,2025/09/02
1-025,000490,カロナール錠500mg,45,0,2025/10/29
1-028,003207,エルデカルトールカプセル0.5μg「サワイ」,21,0,2025/10/29
1-030,003423,ジクロフェナクNa錠 10mg「トーワ」,49,0,2025/09/02
```",1734,504,2238
information_2_2.jpg,information,"1-031,000113,ｱﾑﾛｼﾞﾋﾟﾝOD錠　5mg「ﾄｰﾜ」,103,200,2025/10/17
1-033,002465,ﾘｽﾍﾟﾘﾄﾞﾝOD錠　1mg「ﾄｰﾜ」,151,0,2025/09/01
1-034,000112,ｱﾑﾛｼﾞﾋﾟﾝOD錠　2.5mg「ﾄｰﾜ」,42,20,2025/10/31
1-043,002431,ｸｴﾁｱﾋﾟﾝ錠　25mg「ｱﾒﾙ」,210,20,2025/10/09
1-045,003087,(糖)ｸﾞﾘﾒﾋﾟﾘﾄﾞ錠　0.5mg「NP」,36,0,2025/10/08
1-053,003269,ﾐﾙﾀｻﾞﾋﾟﾝ錠　15mg「明治」,319,20,2025/10/02
1-054,002433,ｸｴﾁｱﾋﾟﾝ錠　200mg「ｱﾒﾙ」,35,20,2025/10/27
1-055,002657,ｱﾙﾌｧｶﾙｼﾄﾞｰﾙ錠　0.25μg「ｱﾒﾙ」,21,20,2025/10/31
1-056,002841,ｵﾙｹﾃﾞｨｱ錠　1mg,100,0,2025/09/02
1-057,002575,ﾋﾞﾑｱﾊﾟｯﾄ錠　100mg,11,20,2025/10/02
1-059,001649,(糖)ﾒﾄｸﾞﾙｺ錠　250mg,380,150,2025/09/30
1-060,003035,ｶﾞﾗﾝﾀﾐﾝOD錠　4mg「ｱﾒﾙ」,12,0,2025/10/27
1-065,003346,炭酸ﾘﾁｳﾑ錠　200mg「大正」,2,20,2025/10/29
1-066,002913,ﾘｽﾍﾟﾘﾄﾞﾝOD錠　2mg「ﾄｰﾜ」,17,20,2025/10/10
1-067,002913,ﾄﾛﾁｱﾄﾞｼﾝOD錠　4mg「ｸﾐﾌｧ」,227,0,2025/10/23",1734,655,2389
information_2_3.jpg,information,"```
1-067,002626,オランザピンOD錠 10mg「トーア」,62,10,2025/09/01
1-068,002624,オランザピンOD錠 5mg「トーア」,183,10,2025/10/02
1-070,000124,アリナミンF糖衣錠 25mg,40,0,2025/10/29
1-075,003383,アジルバルタン錠 20mg「ニプロ」,4,20,2025/10/02
1-077,002379,トキサゾン錠 1mg「テバ」,36,0,2025/10/28
1-078,002389,アジセミド錠 30mg「JG」,53,30,2025/10/02
1-079,002423,エピナスチン塩酸塩錠 20mg「トーワ」,24,0,2025/10/22
1-082,000336,エプランチルカプセル 15mg,34,0,2025/10/31
1-084,001310,フォリアミン錠 5mg,14,0,2025/10/06
1-085,002689,クロピドグレル錠 75mg「トーワ」,76,0,2025/10/02
1-086,002702,シルニジピン錠 10mg「サワイ」,9,20,2025/10/17
1-087,000332,エイキュアント錠 3.75mg,29,0,2025/10/30
1-088,003342,エリキュース錠2.5mg,147,20,2025/10/02
1-089,002279,ケンポ酸第一鉄Na錠50mg「サワイ」,89,20,2025/10/09
1-090,000519,(糖)ラクティブ錠 50mg,118,20,2025/10/20
```",1734,496,2230
information_2_4.jpg,information,"```
1-091,002688,クロピドグレル錠 25mg「トーワ」,58,0,2025/09/02
1-092,003084,タムスロシン塩酸塩OD錠0.2mg「トーワ」,36,0,2025/10/31
1-093,002171,タケプロン錠 20mg,30,30,2025/10/23
1-094,002730,リクシアナOD錠 30mg,53,20,2025/09/01
1-095,002510,ビソプロロールフマル酸塩錠 0.625mg,136,20,2025/09/17
1-096,002512,ビソプロロールフマル酸塩錠 2.5mg,198,30,2025/10/09
1-097,003256,フェブキソスタット錠 10mg「トーワ」,93,0,2025/10/02
1-098,003257,フェブキソスタット錠 20mg「トーワ」,10,0,2025/10/29
1-099,001605,ミヤBM錠,461,0,2025/10/28
1-100,002747,オルメサルタンOD錠 20mg「トーワ」,297,30,2025/10/29
1-101,002275,ゲフィチン配合錠,179,30,2025/10/02
1-103,000598,グリチロン糖衣錠 25mg,3,0,2024/11/11
```",1734,394,2128
information_3_1.jpg,information,"```
1-197,001783,レキソタン錠 2mg,28,0,2024/06/19
1-199,001812,レボトミン錠 5mg,2,0,2025/10/29
1-200,001855,ワーファリン錠 1mg,167,20,2025/09/02
1-201,001681,ユハラNカプセル 100mg,127,20,2025/10/02
1-202,001227,ビスリー配合錠,28,0,2025/10/28
1-203,002187,ランプ ラゾールOD錠15mg「トーワ」,298,200,2025/10/29
1-215,003286,ラメルテオン錠 8mg「武田テバ」,46,0,2025/10/09
1-217,003096,エプレスト錠 100mg,84,20,2025/10/02
1-218,002438,アシノクロビル錠 200mg「トーワ」,15,0,2025/10/02
1-219,003027,エゼチミブ錠 10mg「YD」,26,20,2025/10/31
1-220,002917,テオフィリン徐放錠 100mg「サワイ」,127,20,2025/09/02
1-221,003282,エプレスト錠 200mg,56,20,2025/10/02
1-222,001716,リオナ錠 250mg,10,20,2025/10/29
1-223,000982,(糖)テネリア錠 20mg,116,20,2025/10/02
```",1734,422,2156
information_3_2.jpg,information,"1-224,002842,(糖)ﾌｫｼｰｶﾞ錠5mg,274,20,2025/10/09
1-225,002406,(糖)ｼﾞｬﾃﾞｨｱﾝｽ錠10mg,118,20,2025/10/02
1-227,002774,ﾌﾛﾁｪﾐﾄﾞ錠20mg｢NP｣,26,20,2025/10/28
1-228,003599,ﾄﾞﾊﾟｺｰﾙ配合錠L50,3,0,2025/10/31
1-229,003288,ﾌﾙｺﾅｿﾞｰﾙカプセル50mg｢F｣,2,0,2025/08/28
1-230,003622,ﾛｽﾊﾞｽﾀﾁﾝ錠2.5mg｢ﾄｰﾜ｣,238,0,2025/10/29
1-231,003085,ﾋﾟﾀﾊﾞｽﾀﾁﾝCa･OD錠1mg｢ﾄｰﾜ｣,120,150,2025/10/30
1-233,002188,ﾗﾝｿﾌﾟﾗｿﾞｰﾙOD錠30mg｢ﾄｰﾜ｣,6,20,2025/09/02
1-234,003201,ﾚﾍﾞﾁｱﾗﾑ錠500mg｢日医工｣,22,20,2025/10/15
1-235,002282,ｼﾛｽﾀｿﾞｰﾙOD錠100mg｢ﾄｰﾜ｣,86,20,2025/09/02
1-236,002291,ﾄﾞﾊﾟｺｰﾙ配合錠L100,612,100,2025/10/29
1-237,002644,ｶﾝﾃﾞｻﾙﾀﾝOD錠8mg｢ｻﾜｲ｣,72,20,2025/10/02",1734,504,2238
