ファイル名,label,文字起こし結果,入力トークン,出力トークン,合計トークン
Usage_1_1.jpg,usage,"```csv
001649,錠剤,(糖)メトグルコ錠250mg,362
002575,錠剤,ビムパット錠100mg,393
002841,錠剤,オルケディア錠1mg,27
002657,錠剤,アルフカンドール錠0.25μg「アメル」,565
002433,錠剤,クエチアピン錠200mg「アメル」,140
003269,錠剤,ミルタザピン錠15mg「明治」,522.5
003087,錠剤,(糖)グリメピリド錠0.5mg「NP」,53.5
002431,錠剤,クエチアピン錠25mg「アメル」,453.5
000112,錠剤,アムロジピンOD錠2.5mg「トーワ」,315.5
002465,錠剤,リスペリドンOD錠1mg「トーワ」,249.25
000113,錠剤,アムロジピンOD錠5mg「トーワ」,1848
003423,錠剤,エスシタロプラム錠10mg「トーワ」,62
003207,カプセル,エルデカルトールカプセル0.5μg「サワイ」,249
000490,錠剤,カロナール錠500mg,817
```",1668,349,2017
Usage_1_2.jpg,usage,"```csv
002458,錠剤,トラゾドン塩酸塩錠 50mg「アメル」,125
002258,錠剤,ニフェジピンCR錠 40mg「トーワ」,418
002440,錠剤,ベラプロストNa錠 20μg「NIG」,35
000326,錠剤,エビリファイ錠 12mg,19
000920,錠剤,チラーヂンS錠 50μg,184
002432,錠剤,クエチアピン錠 100mg「アメル」,307
003056,錠剤,ハロペリドール錠 3mg「アメル」,0
003029,錠剤,セレコキシブ錠 100mg「ニプロ」,132
000669,錠剤,ジゴシン錠 0.125mg,48.5
000597,錠剤,コントミン糖衣錠 100mg,71
002381,錠剤,ベニジピン塩酸塩錠4mg「サワイ」,244
002256,錠剤,ニフェジピンCR錠 20mg「トーワ」,283
```",1668,301,1969
Usage_2_1.jpg,usage,"```csv
000107,錠剤,ニコランジル錠　5mg「トーワ」,544
000985,錠剤,デパケンR錠　200mg,430
002785,カプセル,トラネキサム酸カプセル250mg「トーワ」,297
003102,錠剤,プレガバリンOD錠　25mg「サワイ」,252
003103,錠剤,プレガバリンOD錠　75mg「サワイ」,643
002425,カプセル,プランルカストカプセル　112.5mg「サワイ」,0
002392,錠剤,イミダプリル塩酸塩錠5mg「トーワ」,42
002869,錠剤,ベオーバ錠　50mg,315
003189,錠剤,テルミサルタン錠　40mg「トーワ」,452.5
002383,錠剤,ニセルゴリン錠　5mg「トーワ」,0
000489,錠剤,カロナール錠　200mg,668.5
000482,錠剤,カルボシステイン錠250mg,951
000478,錠剤,カルバマゼピン錠　200mg「アメル」,0
002522,錠剤,モサプリドクエン酸塩錠5mg「日医工」,550
```",1328,342,1670
Usage_2_2.jpg,usage,"```csv
000312,錠剤,エチゾラム錠1mg,49
000374,錠剤,ウルソオキシコール酸錠 100mg「トーワ」,282
000170,錠剤,アロプリノール錠 100mg「ニプロ」,50
000132,錠剤,アルダクトンA錠 25mg,553.25
000073,錠剤,アドナ錠 30mg,0
000047,錠剤,アスパラ-CA錠 200mg,28
000042,錠剤,アストミン錠 10mg,147
000016,錠剤,アキネトン錠 1mg,156
000252,錠剤,一硝酸イソソルビド錠20mg「サワイ」,19
000004,錠剤,アーテン錠 2mg,280
002578,錠剤,カルベジロール錠 10mg「サワイ」,746
000599,錠剤,コントミン糖衣錠 25mg,8
000598,錠剤,コントミン糖衣錠 12.5mg,0
002275,錠剤,ダイフェン配合錠,463
0002747,錠剤,オルメサルタンOD錠 20mg「トーワ」,366
```",1328,335,1663
Usage_2_3.jpg,usage,"```
001605,錠剤,ミヤBM錠,1649
003257,錠剤,フェブキソスタット錠20mg「トーワ」,332
003256,錠剤,フェブキソスタット錠10mg「トーワ」,352
002512,錠剤,ビソプロロールフマル酸塩錠2.5mg,652
002510,錠剤,ビソプロロールフマル酸塩錠0.625mg,334
002730,錠剤,リクシアOD錠30mg,261
002171,錠剤,タケキャブ錠20mg,159
003084,錠剤,タムスロシン塩酸塩OD錠0.2mg「トーワ」,207.5
002688,錠剤,クロピドグレル錠25mg「トーワ」,14
000519,錠剤,(糖)グラクティブ錠50mg,264.5
002279,錠剤,クエン酸第一鉄Na錠50mg「サワイ」,563
000342,錠剤,エリキュース錠2.5mg,158
000332,錠剤,エフィエント錠3.75mg,386
002702,錠剤,シルニジピン錠10mg「サワイ」,167.5
002689,錠剤,クロピドグレル錠75mg「トーワ」,178
```",1328,356,1684
Usage_2_4.jpg,usage,"```
001310,錠剤,フォリフミン錠　5mg,232
000336,カプセル,エブランチルカプセル　15mg,888
002423,錠剤,エピナスチン塩酸塩錠　20mg「トーワ」,97
002389,錠剤,アゾセミド錠　30mg「JG」,663
002379,錠剤,ドキサゾシン錠　1mg「テバ」,80
003383,錠剤,アジルサルタン錠　20mg「ニプロ」,420
000124,錠剤,アリナミンF糖衣錠　25mg,339
002624,錠剤,オランザピンOD錠　5mg「トーワ」,173
002626,錠剤,オランザピンOD錠　10mg「トーワ」,56
002913,錠剤,シロドシンOD錠　4mg「ケミファ」,576
002467,錠剤,リスペリドンOD錠　2mg「トーワ」,198
003346,錠剤,炭酸リチウム錠　200mg「大正」,738
000035,錠剤,ガランタミンOD錠　4mg「アメル」,305
```",1668,323,1991
Usage_3_1.jpg,usage,"```
002644,錠剤,カンデサルタンOD錠 8mg「サワイ」,171.5
002291,錠剤,ドパコール配合錠L 100,1150.5
002282,錠剤,シロスタゾールOD錠 100mg「トーワ」,77
003201,錠剤,レベチラセタム錠 500mg「日医工」,716
002188,錠剤,ランソプラゾールOD錠30mg「トーワ」,107
003085,錠剤,ピタバスタチンCa・OD錠 1mg「トーワ」,2071
003622,錠剤,ロスバスタチン錠 2.5mg「トーワ」,1040
003288,カプセル,フルコナゾールカプセル 50mg「F」,0
003599,錠剤,ドパコール配合錠L 50,238
002774,錠剤,フロセミド錠 20mg「NP」,291
002406,錠剤,(糖)ジャディアンス錠 10mg,327
002842,錠剤,(糖)フォシーガ錠 5mg,386
000982,錠剤,(糖)テネリア錠 20mg,369
001716,錠剤,リオナ錠 250mg,185
```",1668,339,2007
Usage_3_2.jpg,usage,"```
003282,錠剤,エンレスト錠　200mg,337
002917,錠剤,テオフィリン徐放錠　100mg「サワイ」,3.5
003027,錠剤,エゼチミブ錠　10mg「YD」,543
002438,錠剤,アシクロビル錠　200mg「トーワ」,189
003096,錠剤,エンレスト錠　100mg,532
003286,錠剤,ラメルテオン錠　8mg「武田テバ」,175
002187,錠剤,ランソプラゾールOD錠15mg「トーワ」,2682
001227,錠剤,ビオスリー配合錠,289
001681,カプセル,ユベラNカプセル　100mg,391
001855,錠剤,ワーファリン錠　1mg,6
001812,錠剤,レボドミン錠　5mg,171
001783,錠剤,レキサルティ錠　2mg,0
001368,錠剤,プレドニゾロン錠　1mg,158.5
000477,錠剤,カルバマゼピン錠　100mg「アメル」,62
000311,錠剤,エチゾラム錠0.5mg,411
```",1328,333,1661
Usage_3_3.jpg,usage,"```csv
002580,錠剤,カルベジロール錠 2.5mg「サワイ」,489.5
001124,錠剤,ノイロトロピン錠 4単位,503
003145,錠剤,アトルバスタチン錠 10mg「NP」,370
001850,錠剤,ロラゼパム錠 0.5mg「サワイ」,21
001830,錠剤,ロキソプロフェンNa錠60mg「トーワ」,227.5
003144,錠剤,レバミピド錠 100mg「オーツカ」,172
002263,錠剤,リマプロストアルファデクス錠 5μg,332
001784,錠剤,レキソタン錠 5mg,0
001751,錠剤,リボトリール錠 0.5mg,555
001780,錠剤,ルプラック錠 8mg,0
001810,錠剤,レボトミン錠 25mg,0
002500,カプセル,ジルチアゼム塩酸塩Rカプセル100mg,162
002400,錠剤,ポラプレジングOD錠 75mg「サワイ」,266
001277,錠剤,ファモチジンD錠 20mg「EMEC」,168
001276,錠剤,ファモチジンD錠 10mg「EMEC」,156
```",1328,367,1695
Usage_3_4.jpg,usage,"```
003333,錠剤,タリージェOD錠　5mg,697.5
002819,錠剤,ベタヒスチンメシル酸塩錠　6mg「トーワ」,225
001637,錠剤,メジコン錠　15mg,246
001644,錠剤,メチコバール錠　500μg,1320
002506,錠剤,ロフラゼプ酸エチル錠　1mg「トーワ」,30.75
002402,錠剤,アンブロキソール塩酸塩錠15mg「トーワ」,369
002265,錠剤,沈降炭酸カルシウム錠　500mg「三」,63
001367,錠剤,プレドニゾロン錠　5mg「タケダ」,2324.5
003537,錠剤,トリクロルメチアジド　2mg「NIG」,30
001333,錠剤,プラバスタチンNa錠　10mg「ケミファ」,260
002330,錠剤,ラベプラゾールNa塩錠10mg「明治」,545
001146,錠剤,バイアスピリン錠　100mg,1320
003168,錠剤,ロサルタンK錠　50mg「DSEP」,102.5
```",1668,338,2006
