ファイル名,文字起こし結果,入力トークン,出力トークン,合計トークン
information_1_1.jpg,"1-090,000519,(糖)ｸﾞﾗｸﾃｨﾌﾞ錠 50mg,185,20,2025/10/02
1-045,003087,(糖)ｸﾞﾘﾒﾋﾟﾘﾄﾞ錠 0.5mg「NP」,0,0,不明
1-225,002406,(糖)ｼﾞｬﾃﾞｨｱﾝｽ錠 10mg,178,20,2025/10/02
1-223,000982,(糖)ﾃﾈﾘｱ錠 20mg,219,20,2025/10/02
1-224,002842,(糖)ﾌｫｼｰｶﾞ錠 5mg,318,20,2025/10/02
1-059,001649,(糖)ﾒﾄｸﾞﾙｺ錠 250mg,490,150,2025/09/30
1-111,002252,一硝酸ｲｿﾙﾋﾞﾄﾞ錠20mg「ｻﾜｲ,5,0,2025/06/26
1-061,003346,炭酸ﾘﾁｳﾑ錠 200mg「大正」,188,20,2025/10/02
1-158,002265,沈降炭酸ｶﾙｼｳﾑ錠 500mg「三,121,20,2025/07/01
1-110,000004,ｱｰﾃﾝ錠 2mg,14,0,2025/09/01
1-112,000016,ｱｷﾈﾄﾝ錠 1mg,23,20,2025/10/01
1-218,002438,ｱｼｸﾛﾋﾞﾙ錠 200mg「ﾄｰﾜ」,134,0,2025/10/02
1-075,003383,ｱｼﾞﾙｻﾙﾀﾝ錠 20mg「ﾆﾌﾟﾛ」,181,20,2025/10/02",2571,508,3079
information_1_2.jpg,"1-113,000042,ｱｽﾄﾐﾝ錠 10mg,12,0,2025/04/11  
1-114,000047,ｱｽﾊﾟﾗｰCA錠 200mg,23,0,2024/07/31  
1-078,002389,ｱｿﾞｾﾐﾄﾞ錠 30mg「JG」,335,30,2025/10/02  
1-185,003145,ｱﾄﾙﾊﾞｽﾀﾁﾝ錠 10mg「NP」,239,20,2025/10/02  
1-115,000073,ｱﾄﾞﾅ錠 30mg,89,0,2025/09/02  
1-034,000112,ｱﾑﾛｼﾞﾋﾟﾝOD錠 2.5mg「ﾄｰﾜ」,158,20,2025/09/01  
1-031,000113,ｱﾑﾛｼﾞﾋﾟﾝOD錠 5mg「ﾄｰﾜ」,310,200,2025/10/01  
1-070,000124,ｱﾘﾅﾐﾝF糖衣錠 25mg,200,0,2025/09/01  
1-116,000132,ｱﾙﾀﾞｸﾄNA錠 25mg,281,20,2025/10/02  
1-055,002657,ｱﾙﾌｧｶﾙｼﾄﾞｰﾙ錠 0.25μg「ｱﾒﾙ」,168,20,2025/10/02  
1-117,000170,ｱﾛﾌﾟﾘﾉｰﾙ錠 100mg「ﾆﾌﾟﾛ」,52,0,2025/09/02  
1-161,002402,ｱﾝﾌﾞﾛｷｿｰﾙ塩酸塩錠15mg「ﾄｰﾜ」,164,0,2025/10/02  
1-131,002392,ｲﾐﾀﾞﾌﾟﾘﾙ塩酸塩錠5mg「ﾄｰﾜ」,10,0,2025/07/27  
1-118,002374,ｳﾙｿﾃﾞｵｷｼｺｰﾙ酸錠 100mg「ﾄｰﾜ」,385,20,2025/07/15  
1-030,003423,ｴｽｼﾀﾛﾌﾟﾗﾑ錠 10mg「ﾄｰﾜ」,77,0,2025/09/02",2740,643,3383
information_1_3.jpg,"1-219,003027,エゼチミブ錠 10mg「YD」,218,20,2025/10/02
1-189,000311,エチゾラム錠0.5mg,62,20,2025/10/02
1-119,000312,エチゾラム錠1mg,17,0,2025/09/17
1-017,000326,エビリファイ錠 12mg,31,0,2025/08/19
1-009,000327,エビリファイ錠 6mg,105,20,2025/10/04
1-079,002423,エピナスチン塩酸塩錠 20mg「トーワ」,3,0,2025/09/15
1-087,000332,エフィエント錠 3.75mg,153,0,2025/10/02
1-082,000336,エブラシルカプセル 15mg,232,0,2025/10/02
1-088,000342,エリキュース錠2.5mg,165,20,2025/10/02
1-028,003207,エルデカルシトールカプセル0.5μg「サワイ」,96,0,2025/10/02
1-217,003096,エンレスト錠 100mg,268,20,2025/10/02
1-221,003282,エンレスト錠 200mg,173,20,2025/10/02
1-067,002626,オランザピンOD錠 10mg 「トーワ」,62,10,2025/09/01
1-068,002624,オランザピンOD錠 5mg 「トーワ」,183,10,2025/10/02
1-056,002841,オルケディア錠 1mg,127,0,2025/09/02",2740,465,3205
information_1_4.jpg,"1-100,002747,ｵﾙﾒｻﾙﾀﾝOD錠 20mg「ﾄｰﾜ」,163,30,2025/09/03
1-191,000477,ｶﾙﾊﾞﾏｾﾞﾋﾟﾝ錠 100mg「ｱﾒﾙ」,409,0,2025/06/02
1-123,000478,ｶﾙﾊﾞﾏｾﾞﾋﾟﾝ錠 200mg「ｱﾒﾙ」,35,0,2025/05/02
1-109,002578,ｶﾙﾍﾞｼﾞﾛｰﾙ錠 10mg「ｻﾜｲ」,364,0,2025/09/11
1-187,002580,ｶﾙﾍﾞｼﾞﾛｰﾙ錠 2.5mg「ｻﾜｲ」,192,20,2025/10/02
1-124,000482,ｶﾙﾎﾞｼｽﾃｲﾝ錠250mg,747,30,2025/10/01
1-125,000489,ｶﾛﾅｰﾙ錠 200mg,247,20,2025/09/01
1-025,000490,ｶﾛﾅｰﾙ錠500mg,165,0,2025/10/02
1-237,002644,ｶﾝﾃﾞｻﾙﾀﾝOD錠 8mg「ｻﾜｲ」,129,20,2025/10/02
1-060,003035,ｶﾞﾗﾝﾀﾐﾝOD錠 4mg「ｱﾒﾙ」,104,0,2025/10/02
1-015,002432,ｸｴﾁｱﾋﾟﾝ錠 100mg「ｱﾒﾙ」,244,20,2025/10/02
1-054,002433,ｸｴﾁｱﾋﾟﾝ錠 200mg「ｱﾒﾙ」,55,20,2025/09/01
1-043,002431,ｸｴﾁｱﾋﾟﾝ錠 25mg「ｱﾒﾙ」,345,20,2025/10/02
1-089,002279,ｸｴﾝ酸第一鉄Na錠50mg「ｻﾜｲ」,308,20,2025/10/02",2675,601,3276
information_2_1.jpg,"1-091,002688,クロピドグレル錠 25mg「トーワ」,58,0,2025/09/02
1-085,002689,クロピドグレル錠 75mg「トーワ」,116,0,2025/10/02
1-011,000597,コントミソ糖衣錠 100mg,0,20,2025/09/02
1-103,000598,コントミソ糖衣錠 12.5mg,3,0,2024/11/11
1-105,000599,コントミソ糖衣錠 25mg,1,0,2025/09/17
1-086,002702,シルニジピン錠 10mg「サワイ」,5,0,2025/08/04
1-235,002282,シロスタゾールOD錠 100mg「トーワ」,100,20,2025/09/02
1-066,002913,シロドシンOD錠 4mg「ケミファ」,153,0,2025/09/17
1-012,000669,ジゴシン錠 0.125mg,70,20,2025/09/02",1846,293,2139
information_2_2.jpg,"1-170,002500,ｼﾞﾙﾁｱｾﾞﾑ塩酸塩Rｶﾌﾟｾﾙ100mg,2,0,2025/09/17
1-013,003029,ｾﾚｺｷｼﾌﾞ錠 100mg「ﾆﾌﾟﾛ」,122,30,2025/10/04
1-093,002171,ﾀｹｷｬﾌﾞ錠 20mg,35,30,2025/09/09
1-092,003084,ﾀﾑｽﾛｼﾝ塩酸塩OD錠0.2mg「ﾄｰﾜ」,123,0,2025/10/02
1-166,003333,ﾀﾘｰｼﾞOD錠 5mg,412,20,2025/10/06",1224,212,1436
information_2_3.jpg,"1-101,002275,ダｲフェン配合錠,294,30,2025/10/02
1-016,000920,ﾁラｰヂンS錠 50μg,138,30,2025/10/02
1-220,002917,テオフィリン徐放錠 100mg「サワイ」,127,20,2025/09/02
1-128,003189,テルミサルタン錠 40mg「トーワ」,207,20,2025/10/02
1-144,000985,デパケンR錠 200mg,226,30,2025/09/13
1-024,002458,トラゾドン塩酸塩錠 50mg「アメル」,109,0,2025/09/02
1-136,002785,トラネキサム酸カプセル250mg 「トーワ」,242,0,2025/10/02
1-156,003537,トリクロルメチアジド 2mg「NIG」,46,0,2025/06/17
1-077,002379,ドキサゾシン錠 1mg「テバ」,90,0,2025/08/01
1-236,002291,ドパコール配合錠L 100,422,100,2025/08/06
1-228,003599,ドパコール配合錠L 50,152,0,2025/10/02
1-147,001071,ニコランジル錠 5mg「トーワ」,215,20,2025/10/02
1-127,002383,ニセルゴリン錠 5mg 「トーワ」,43,0,2025/04/14
1-007,002256,ニフェジピンCR錠 20mg 「トーワ」,51,20,2025/08/04
1-023,002258,ニフェジピンCR錠 40mg 「トーワ」,162,0,2025/10/02",2740,492,3232
information_2_4.jpg,"1-186,001124,ﾉｲﾛﾄﾛﾋﾟﾝ錠 4単位,284,20,2025/10/02
1-014,003056,ﾊﾛﾍﾟﾘﾄﾞｰﾙ錠 3mg「ｱﾒﾙ」,38,20,2025/06/11
1-149,001146,ﾊﾞｲｱｽﾋﾟﾘﾝ錠 100mg,172,100,2025/10/01
1-202,001227,ﾋﾞｵｽﾘｰ配合錠,160,0,2025/10/02
1-095,002510,ﾋﾞｿﾌﾟﾛｰﾙﾌﾏﾙ酸塩錠 0.625mg,252,20,2025/09/17
1-096,002512,ﾋﾞｿﾌﾟﾛｰﾙﾌﾏﾙ酸塩錠 2.5mg,340,30,2025/10/02
1-057,002575,ﾋﾞﾑﾊﾟｯﾄ錠 100mg,136,20,2025/10/02
1-231,003085,ﾋﾟﾀﾊﾞｽﾀﾁﾝCa・OD錠 1mg「ﾄｰﾜ」,164,150,2025/09/30
1-167,001276,ﾌｧﾓﾁｼﾞﾝD錠 10mg「EMEC」,39,20,2025/10/02
1-168,001277,ﾌｧﾓﾁｼﾞﾝD錠 20mg「EMEC」,75,20,2025/10/02
1-097,003256,ﾌｪﾌﾞｷｿｽﾀｯﾄ錠 10mg「ﾄｰﾜ」,248,0,2025/10/02
1-098,003257,ﾌｪﾌﾞｷｿｽﾀｯﾄ錠 20mg「ﾄｰﾜ」,138,0,2025/10/02
1-084,001310,ﾌｫﾘｱﾐﾝ錠 5mg,34,0,2025/09/07
1-229,003288,ﾌﾙｺﾅｿﾞｰﾙｶﾌﾟｾﾙ 50mg「F」,2,0,2025/08/28
1-227,002774,ﾌﾛｾﾐﾄﾞ錠 20mg「NP」,112,20,2025/10/02",2779,635,3414
information_2_5.jpg,"1-154,001333,プラバスタチンNa錠 10mg「ケミファ」,161,10,2025/10/02  
1-133,002425,プランルカストカプセル 112.5mg「サワイ」,39,0,2025/06/11  
1-135,003102,プレガバリンOD錠 25mg「サワイ」,110,20,2025/10/02  
1-134,003103,プレガバリンOD錠 75mg「サワイ」,350,20,2025/10/02  
1-194,001368,プレドニゾロン錠 1mg,263,30,2025/10/02  
1-157,001367,プレドニゾロン錠 5mg「タケダ」,486,100,2025/10/05  
1-129,002869,ベオーバ錠 50mg,194,0,2025/10/02  
1-165,002819,ベタヒスチンメシル酸塩錠 6mg「トーワ」,83,20,2025/10/04  
1-010,002381,ベニジピン塩酸塩錠4mg「サワイ」,112,20,2025/10/04  
1-018,002440,ベラプロストNa錠 20μg「NIG」,55,0,2025/05/01  
1-169,002400,ボラプレジンクOD錠 75mg「サワイ」,200,20,2025/10/02  
1-099,001605,ミヤBM錠,66,0,2025/09/10  
1-053,003269,ミルタザピン錠 15mg「明治」,382,20,2025/10/02",2468,435,2903
information_3_1.jpg,"1-164,001637,メジコン錠 15mg,28,20,2025/10/08
1-163,001644,メチコバール錠 500μg,360,20,2025/10/28
1-122,002522,モサプリドクエン酸塩錠5mg「日医工」,147,20,2025/10/02
1-201,001681,ユベラNカプセル 100mg,127,0,2025/10/02",1016,123,1139
