ファイル名,文字起こし結果,入力トークン,出力トークン,合計トークン
Usage_1_1.jpg,"002644,錠剤,ｶﾝデサルタンOD錠 8mg「サワイ」,171.5
002291,錠剤,ドパコール配合錠L 100,1150.5
002282,錠剤,シロスタゾールOD錠 100mg「トーワ」,77
003201,錠剤,レベチラセタム錠 500mg「日医工」,716
002188,錠剤,ランソプラゾールOD錠30mg「トーワ」,107
003085,錠剤,ピタバスタチンCa・OD錠 1mg「トーワ」,2071
003622,錠剤,ロスバスタチン錠 2.5mg「トーワ」,1040
003288,カプセル,フルコナゾールカプセル 50mg「F」,0
003599,錠剤,ドパコール配合錠L 50,238
002774,錠剤,フロセミド錠 20mg「NP」,291
002406,錠剤,(糖)ジャディアンス錠 10mg,327
002842,錠剤,(糖)フォシーガ錠 5mg,386
000982,錠剤,(糖)テネリア錠 20mg,369
001716,錠剤,リオナ錠 250mg,185",2630,337,2967
Usage_1_2.jpg,"003282,錠剤,ｴﾝﾚｽﾄ錠 200mg,337
002917,錠剤,ﾃｵﾌｨﾘﾝ徐放錠 100mg「ｻﾜｲ」,3.5
003027,錠剤,ｴｾﾞﾁﾐﾌﾞ錠 10mg「YD」,543
002438,錠剤,ｱｼｸﾛﾋﾞﾙ錠 200mg「ﾄｰﾜ」,189
003096,錠剤,ｴﾝﾚｽﾄ錠 100mg,532
003286,錠剤,ﾗﾒﾙﾃｵﾝ錠 8mg「武田ﾃﾊﾞ」,175
002187,錠剤,ﾗﾝｿﾌﾟﾗｿﾞｰﾙOD錠15mg「ﾄｰﾜ」,2682
001227,錠剤,ﾋﾞｵｽﾘｰ配合錠,289
001681,ｶﾌﾟｾﾙ,ﾕﾍﾞﾗNｶﾌﾟｾﾙ 100mg,391
001855,錠剤,ﾜｰﾌｧﾘﾝ錠 1mg,6
001812,錠剤,ﾚﾎﾞﾄﾐﾝ錠 5mg,171
001783,錠剤,ﾚｷｿﾀﾝ錠 2mg,0
001368,錠剤,ﾌﾟﾚﾄﾞﾆｿﾞﾛﾝ錠 1mg,158.5
000477,錠剤,ｶﾙﾊﾞﾏｾﾞﾋﾟﾝ錠 100mg「ｱﾒﾙ」,62
000311,錠剤,ｴﾁｿﾞﾗﾑ錠0.5mg,411",2674,461,3135
Usage_1_3.jpg,"002580,錠剤,ｶﾙﾍﾞｼﾞﾛｰﾙ錠 2.5mg「ｻﾜｲ」,489.5
001124,錠剤,ﾉｲﾛﾄﾛﾋﾟﾝ錠 4単位,503
003145,錠剤,ｱﾄﾙﾊﾞｽﾀﾁﾝ錠 10mg「NP」,370
001850,錠剤,ﾛﾗｾﾞﾊﾟﾑ錠 0.5mg「ｻﾜｲ」,21
001830,錠剤,ﾛｷｿﾌﾟﾛﾌｪﾝNa錠60mg「ﾄｰﾜ」,227.5
003144,錠剤,ﾚﾊﾞﾐﾋﾟﾄﾞ錠 100mg「ｵｰﾂｶ」,172
002263,錠剤,ﾘﾏﾌﾟﾛｽﾄｱﾙﾌｧﾃﾞｸｽ錠 5μg,332
001784,錠剤,ﾚｷｿﾀﾝ錠 5mg,0
001751,錠剤,ﾘﾎﾞﾄﾘｰﾙ錠 0.5mg,555
001780,錠剤,ﾙﾌﾟﾗｯｸ錠 8mg,0
001810,錠剤,ﾚﾎﾞﾄﾐﾝ錠 25mg,0
002500,ｶﾌﾟｾﾙ,ｼﾞﾙﾁｱｾﾞﾑ塩酸塩Rｶﾌﾟｾﾙ100mg,162
002400,錠剤,ﾎﾟﾗﾌﾟﾚｼﾞﾝｸOD錠 75mg「ｻﾜｲ」,266
001277,錠剤,ﾌｧﾓﾁｼﾞﾝD錠 20mg「EMEC」,168
001276,錠剤,ﾌｧﾓﾁｼﾞﾝD錠 10mg「EMEC」,156",2674,515,3189
Usage_1_4.jpg,"003333,錠剤,タリージェOD錠 5mg,697.5
002819,錠剤,ベタヒスチンメシル酸塩錠 6mg「ﾄｰﾜ」,225
001637,錠剤,メジコン錠 15mg,246
001644,錠剤,メチコバール錠 500μg,1320
002506,錠剤,ロフラゼプ酸エチル錠 1mg「ﾄｰﾜ」,30.75
002402,錠剤,アンブロキソール塩酸塩錠15mg「ﾄｰﾜ,369
002265,錠剤,沈降炭酸カルシウム錠 500mg「三,63
001367,錠剤,プレドニゾロン錠 5mg「ﾀｹﾀﾞ」,2324.5
003537,錠剤,トリクロルメチアジド 2mg[NIG],30
001333,錠剤,プラバスタチンNa錠 10mg「ｹﾐﾌｧ」,260
002330,錠剤,ラベプラゾールNa塩錠10mg「明治,545
001146,錠剤,バイアスピリン錠 100mg,1320
003168,錠剤,ロサルタンＫ錠 50mg「DSEP」,102.5",2667,343,3010
Usage_2_1.jpg,"001071,錠剤,ニコランジル錠 5mg「ﾄｰﾜ」,544
000985,錠剤,デパケンR錠 200mg,430
002785,カプセル,トラネキサム酸ｶﾌﾟｾﾙ250mg 「ﾄｰﾜ」,297
003102,錠剤,プレガバリンOD錠 25mg「サワイ」,252
003103,錠剤,プレガバリンOD錠 75mg「サワイ」,643
002425,カプセル,プランルカストカプセル 112.5mg「サワイ」,0
002392,錠剤,イミダプリル塩酸塩錠5mg 「ﾄｰﾜ」,42
002869,錠剤,ベオーバ錠 50mg,315
003189,錠剤,テルミサルタン錠 40mg「ﾄｰﾜ」,452.5
002383,錠剤,ニセルゴリン錠 5mg 「ﾄｰﾜ」,0
000489,錠剤,カロナール錠 200mg,668.5
000482,錠剤,カルボシステイン錠250mg,951
000478,錠剤,カルバマゼピン錠 200mg「アメル」,0
002522,錠剤,モサプリドクエン酸塩錠5mg「日医工」,550",2586,353,2939
Usage_2_2.jpg,"000312,錠剤,エチゾラム錠1mg,49
002374,錠剤,ウルソデオキシコール酸錠 100mg「トーワ,282
000170,錠剤,アロプリノール錠 100mg「ニプロ」,50
000132,錠剤,アルダクトンA錠 25mg,553.25
000073,錠剤,アドナ錠 30mg,0
000047,錠剤,アスパラーCA錠 200mg,28
000042,錠剤,アストミン錠 10mg,147
000016,錠剤,アキネトン錠 1mg,156
002252,錠剤,一硝酸イソソルビド錠20mg「サワイ,19
000004,錠剤,アーデン錠 2mg,280
002578,錠剤,カルベジロール錠 10mg「サワイ」,746
000599,錠剤,コントミン糖衣錠 25mg,8
000598,錠剤,コントミン糖衣錠 12.5mg,0
002275,錠剤,ダイフェン配合錠,463
002747,錠剤,オルメサルタンOD錠 20mg「トーワ」,366",2674,327,3001
Usage_2_3.jpg,"001605,錠剤,ﾐﾔBM錠,1649
003257,錠剤,ﾌｪﾌﾞｷｿﾀｯﾄ錠 20mg「ﾄｰﾜ」,332
003256,錠剤,ﾌｪﾌﾞｷｿﾀｯﾄ錠 10mg「ﾄｰﾜ」,352
002512,錠剤,ﾋﾞｿﾌﾟﾛﾛｰﾙﾌﾏﾙ酸塩錠 2.5mg,652
002510,錠剤,ﾋﾞｿﾌﾟﾛﾛｰﾙﾌﾏﾙ酸塩錠 0.625mg,334
002730,錠剤,ﾘｸｼｱﾅOD錠 30mg,261
002171,錠剤,ﾀｹｷｬﾌﾞ錠 20mg,159
003084,錠剤,ﾀﾑｽﾛｼﾝ塩酸塩OD錠0.2mg「ﾄｰﾜ」,207.5
002688,錠剤,ｸﾛﾋﾟﾄﾞｸﾞﾚﾙ錠 25mg「ﾄｰﾜ」,14
000519,錠剤,(糖)ｸﾞﾗｸﾃｨﾌﾞ錠 50mg,264.5
002279,錠剤,ｸｴﾝ酸第一鉄Na錠50mg「ｻﾜｲ」,563
000342,錠剤,ｴﾘｷｭｰｽ錠2.5mg,158
000332,錠剤,ｴﾌｨｴﾝﾄ錠 3.75mg,386
002702,錠剤,ｼﾙﾆｼﾞﾋﾟﾝ錠 10mg「ｻﾜｲ」,167.5
002689,錠剤,ｸﾛﾋﾟﾄﾞｸﾞﾚﾙ錠 75mg「ﾄｰﾜ」,178",2674,497,3171
Usage_2_4.jpg,"001310,錠剤,フォリアミン錠 5mg,232
000336,カプセル,エブランチルカプセル 15mg,888
002423,錠剤,エピナスチン塩酸塩錠 20mg「トーワ」,97
002389,錠剤,アゾセミド錠 30mg「JG」,663
002379,錠剤,ドキサゾシン錠 1mg「テバ」,80
003383,錠剤,アジルサルタン錠 20mg「ニプロ」,420
000124,錠剤,アリナミンF糖衣錠 25mg,339
002624,錠剤,オランザピンOD錠 5mg「トーワ」,173
002626,錠剤,オランザピンOD錠 10mg「トーワ」,56
002913,錠剤,シロドシンOD錠 4mg「ケミファ」,576
002467,錠剤,リスペリドンOD錠 2mg「トーワ」,198
003346,錠剤,炭酸リチウム錠 200mg「大正」,738
003035,錠剤,ガランタミンOD錠 4mg「アメル」,305",2667,318,2985
Usage_3_1.jpg,"001649,錠剤,(糖)メトグルコ錠,362
002575,錠剤,ビムパット錠,393
002841,錠剤,オルケディア錠,27
002657,錠剤,アルファカルシドール錠,565
002433,錠剤,クエチアピン錠,140
003269,錠剤,ミルタザピン錠,522.5
003087,錠剤,(糖)グリメピリド錠,53.5
002431,錠剤,クエチアピン錠,453.5
000112,錠剤,アムロジピンOD錠,315.5
002465,錠剤,リスペリドンOD錠,249.25
000113,錠剤,アムロジピンOD錠,1848
003423,錠剤,エスシタロプラム錠,62
003207,カプセル,エルデカルシトールカプセル,249
000490,錠剤,カロナール錠,817",2630,265,2895
Usage_3_2.jpg,"002458,錠剤,ﾄﾗｿﾞﾄﾞﾝ塩酸塩錠 ５０mg「ｱﾒﾙ」,125
002258,錠剤,ﾆﾌｪｼﾞﾋﾟﾝCR錠 ４０mg「ﾄｰﾜ」,418
002440,錠剤,ﾍﾞﾗﾌﾟﾛｽﾄNa錠 ２０μｇ「NIG」,35
000326,錠剤,ｴﾋﾞﾘﾌｧｲ錠 １２mg,19
000920,錠剤,ﾁﾗｰｼﾞﾝS錠 ５０μｇ,184
002432,錠剤,ｸｴﾁｱﾋﾟﾝ錠 １００mg「ｱﾒﾙ」,307
003056,錠剤,ﾊﾛﾍﾟﾘﾄﾞｰﾙ錠 ３mg「ｱﾒﾙ」,0
003029,錠剤,ｾﾚｺｷｼﾌﾞ 錠 １００mg「ﾆﾌﾟﾛ」,132
000669,錠剤,ｼﾞｺﾞｼﾝ錠 ０．１２５mg,48.5
000597,錠剤,ｺﾝﾄﾐﾝ糖衣錠 １００mg,71
002381,錠剤,ﾍﾞﾆｼﾞﾋﾟﾝ塩酸塩錠４mg「ｻﾜｲ」,244
002256,錠剤,ﾆﾌｪｼﾞﾋﾟﾝCR錠 ２０mg「ﾄｰﾜ」,283",2654,410,3064
