ファイル名,文字起こし結果,入力トークン,出力トークン,合計トークン
Usage_1_1.jpg,"002644,錠剤,ｶﾝデｻﾙﾀﾝOD錠 8mg「サワイ」,171.5
002291,錠剤,ﾄﾞパｺｰﾙ配合錠L 100,1150.5
002282,錠剤,ｼﾛｽﾀｿﾞｰﾙOD錠 100mg「ﾄｰﾜ」,77
003201,錠剤,ﾚﾍﾞﾁﾗｾﾀﾑ錠 500mg「日医工」,716
002188,錠剤,ﾗﾝｿﾌﾟﾗｿﾞｰﾙOD錠30mg「ﾄｰﾜ」,107
003085,錠剤,ﾋﾟﾀﾊﾞｽﾀﾁﾝCa・OD錠 1mg「ﾄｰﾜ」,2071
003622,錠剤,ﾛｽﾊﾞｽﾀﾁﾝ錠 2.5mg「ﾄｰﾜ」,1040
003288,ｶﾌﾟｾﾙ,ﾌﾙｺﾅｿﾞｰﾙｶﾌﾟｾﾙ 50mg「F」,0
003599,錠剤,ﾄﾞパｺｰﾙ配合錠L 50,238
002774,錠剤,ﾌﾛｾﾐﾄﾞ錠 20mg「NP」,291
002406,錠剤,(糖)ｼﾞｬﾃﾞｨｱﾝｽ錠 10mg,327
002842,錠剤,(糖)ﾌｫｼｰｶﾞ錠 5mg,386
000982,錠剤,(糖)ﾃﾈﾘｱ錠 20mg,369
001716,錠剤,ﾘｵﾅ錠 250mg,185",2630,459,3089
Usage_1_2.jpg,"003282,錠剤,ｴﾝﾚｽﾄ錠 ２００ｍｇ,337
002917,錠剤,ﾃｵﾌｨﾘﾝ徐放錠 １００ｍｇ「ｻﾜｲ」,3.5
003027,錠剤,ｴｾﾞﾁﾐﾌﾞ錠 １０ｍｇ「ＹＤ」,543
002438,錠剤,ｱｼｸﾛﾋﾞﾙ錠 ２００ｍｇ「ﾄｰﾜ」,189
003096,錠剤,ｴﾝﾚｽﾄ錠 １００ｍｇ,532
003286,錠剤,ﾗﾒﾙﾃｵﾝ錠 ８ｍｇ「武田ﾃﾊﾞ」,175
002187,錠剤,ﾗﾝｿﾌﾟﾗｿﾞｰﾙＯＤ錠１５ｍｇ「ﾄｰﾜ」,2682
001227,錠剤,ﾋﾞｵｽﾘｰ配合錠,289
001681,ｶﾌﾟｾﾙ,ﾕﾍﾞﾗＮｶﾌﾟｾﾙ １００ｍｇ,391
001855,錠剤,ﾜｰﾌｧﾘﾝ錠 １ｍｇ,6
001812,錠剤,ﾚﾎﾞﾄﾐﾝ錠 ５ｍｇ,171
001783,錠剤,ﾚｷｿﾀﾝ錠 ２ｍｇ,0
001368,錠剤,ﾌﾟﾚﾄﾞﾆｿﾞﾛﾝ錠 １ｍｇ,158.5
000477,錠剤,ｶﾙﾊﾞﾏｾﾞﾋﾟﾝ錠 １００ｍｇ「ｱﾒﾙ」,62
000311,錠剤,ｴﾁｿﾞﾗﾑ錠０．５ｍｇ,411",2674,493,3167
Usage_1_3.jpg,"002580,錠剤,カルベジロール錠 2.5mg「サワイ」,489.5
001124,錠剤,ノイトロピン錠 4単位,503
003145,錠剤,アトルバスタチン錠 10mg「NP」,370
001850,錠剤,ロラゼパム錠 0.5mg「サワイ」,21
001830,錠剤,ロキソプロフェンNa錠60mg「トーワ」,227.5
003144,錠剤,レバミピド錠 100mg「オーツカ」,172
002263,錠剤,リマプロストアルファデクス錠 5μg,332
001784,錠剤,レキソタン錠 5mg,0
001751,錠剤,リボトリール錠 0.5mg,555
001780,錠剤,ルプラック錠 8mg,0
001810,錠剤,レボトミン錠 25mg,0
002500,カプセル,ジルチアゼム塩酸塩Rカプセル100mg,162
002400,錠剤,ポラプレジンクOD錠 75mg「サワイ」,266
001277,錠剤,ファモチジンD錠 20mg「EMEC」,168
001276,錠剤,ファモチジンD錠 10mg「EMEC」,156",2674,360,3034
Usage_1_4.jpg,"003333,錠剤,ﾀﾘｰｼﾞｪOD錠　5mg,697.5
002819,錠剤,ﾍﾞﾀﾋｽﾁﾝﾒｼﾙ酸塩錠　6mg「ﾄｰﾜ」,225
001637,錠剤,ﾒｼﾞｺﾝ錠　15mg,246
001644,錠剤,ﾒﾁｺﾊﾞｰﾙ錠　500μg,1320
002506,錠剤,ﾛﾌﾗｾﾞﾌﾟ酸ｴﾁﾙ錠　1mg「ﾄｰﾜ」,30.75
002402,錠剤,ｱﾝﾌﾞﾛｷｿｰﾙ塩酸塩錠15mg「ﾄｰﾜ,369
002265,錠剤,沈降炭酸ｶﾙｼｳﾑ錠　500mg「三,63
001367,錠剤,ﾌﾟﾚﾄﾞﾆｿﾞﾛﾝ錠　5mg「ﾀｹﾀﾞ」,2324.5
003537,錠剤,ﾄﾘｸﾛﾙﾒﾁｱｼﾞﾄﾞ2mg[NIG],30
001333,錠剤,ﾌﾟﾗﾊﾞｽﾀﾁﾝNa錠　10mg「ｹﾐﾌｧ」,260
002330,錠剤,ﾗﾍﾞﾌﾟﾗｿﾞｰﾙNa塩錠10mg「明治,545
001146,錠剤,ﾊﾞｲｱｽﾋﾟﾘﾝ錠　100mg,1320
003168,錠剤,ﾛｻﾙﾀﾝK錠　50mg「DSEP」,102.5",2667,458,3125
Usage_2_1.jpg,"001071,錠剤,ニコランジル錠5mg「トーワ」,544
000985,錠剤,デパケンR錠200mg,430
002785,カプセル,トラネキサム酸カプセル250mg「トーワ」,297
003102,錠剤,プレガバリンOD錠25mg「サワイ」,252
003103,錠剤,プレガバリンOD錠75mg「サワイ」,643
002425,カプセル,プランルカストカプセル112.5mg「サワイ」,0
002392,錠剤,イミダプリル塩酸塩錠5mg「トーワ」,42
002869,錠剤,ベオーバ錠50mg,315
003189,錠剤,テルミサルタン錠40mg「トーワ」,452.5
002383,錠剤,ニセルゴリン錠5mg「トーワ」,0
000489,錠剤,カロナール錠200mg,668.5
000482,錠剤,カルボシステイン錠250mg,951
000478,錠剤,カルバマゼピン錠200mg「アメル」,0
002522,錠剤,モサプリドクエン酸塩錠5mg「日医工」,550",2586,327,2913
Usage_2_2.jpg,"000312,錠剤,エチゾラム錠1mg,49
002374,錠剤,ウルソデオキシコール酸錠 100mg ｢トーワ,282
000170,錠剤,アロプリノール錠 100mg ｢ニプロ｣,50
000132,錠剤,アルダクトンA錠 25mg,553.25
000073,錠剤,アドナ錠 30mg,0
000047,錠剤,アスパラ-CA錠 200mg,28
000042,錠剤,アストミン錠 10mg,147
000016,錠剤,アキネトン錠 1mg,156
002252,錠剤,一硝酸イソソルビド錠20mg ｢サワイ,19
000004,錠剤,アーテン錠 2mg,280
002578,錠剤,カルベジロール錠 10mg ｢サワイ｣,746
000599,錠剤,コントミン糖衣錠 25mg,8
000598,錠剤,コントミン糖衣錠 12.5mg,0
002275,錠剤,ダイフェン配合錠,463
002747,錠剤,オルメサルタンOD錠 20mg｢トーワ｣,366",2674,333,3007
Usage_2_3.jpg,"001605,錠剤,ミヤBM錠,1649
003257,錠剤,フェブキソスタット錠 20mg「トーワ」,332
003256,錠剤,フェブキソスタット錠 10mg「トーワ」,352
002512,錠剤,ビソプロロールフマル酸塩錠 2.5mg,652
002510,錠剤,ビソプロロールフマル酸塩錠 0.625mg,334
002730,錠剤,リクシアナOD錠 30mg,261
002171,錠剤,タケキャブ錠 20mg,159
003084,錠剤,タムスロシン塩酸塩OD錠0.2mg「トーワ」,207.5
002688,錠剤,クロピドグレル錠 25mg「トーワ」,14
000519,錠剤,(糖)グラクティブ錠 50mg,264.5
002279,錠剤,クエン酸第一鉄Na錠50mg「サワイ」,563
000342,錠剤,エリキュース錠2.5mg,158
000332,錠剤,エフィエント錠 3.75mg,386
002702,錠剤,シルニジピン錠 10mg「サワイ」,167.5
002689,錠剤,クロピドグレル錠 75mg「トーワ」,178",2674,364,3038
Usage_2_4.jpg,"001310,錠剤,フォリアミン錠 5mg,232
000336,カプセル,エブﾗンチルカプセル 15mg,888
002423,錠剤,エピﾅスチン塩酸塩錠 20mg「トーワ」,97
002389,錠剤,アゾセミド錠 30mg「JG」,663
002379,錠剤,ドキサゾシン錠 1mg「テバ」,80
003383,錠剤,アジルサルタン錠 20mg「ニプロ」,420
000124,錠剤,アリナミンF糖衣錠 25mg,339
002624,錠剤,オランザピンOD錠 5mg「トーワ」,173
002626,錠剤,オランザピンOD錠 10mg「トーワ」,56
002913,錠剤,シロドシンOD錠 4mg「ケミファ」,576
002467,錠剤,リスペリドンOD錠 2mg「トーワ」,198
003346,錠剤,炭酸リチウム錠 200mg「大正」,738
003035,錠剤,ガランタミンOD錠 4mg「アメル」,305",2667,321,2988
Usage_3_1.jpg,"001649,錠剤,(糖)ﾒﾄｸﾞﾙｺ錠 250mg,362
002575,錠剤,ﾋﾞﾑﾊﾟｯﾄ錠 100mg,393
002841,錠剤,ｵﾙｹﾃﾞｨｱ錠 1mg,27
002657,錠剤,ｱﾙﾌｧｶﾙｼﾄﾞｰﾙ錠 0.25μg「ｱﾒﾙ」,565
002433,錠剤,ｸｴﾁｱﾋﾟﾝ錠 200mg「ｱﾒﾙ」,140
003269,錠剤,ﾐﾙﾀｻﾞﾋﾟﾝ錠 15mg「明治」,522.5
003087,錠剤,(糖)ｸﾞﾘﾒﾋﾟﾘﾄﾞ錠 0.5mg「NP」,53.5
002431,錠剤,ｸｴﾁｱﾋﾟﾝ錠 25mg「ｱﾒﾙ」,453.5
000112,錠剤,ｱﾑﾛｼﾞﾋﾟﾝOD錠 2.5mg「ﾄｰﾜ」,315.5
002465,錠剤,ﾘｽﾍﾟﾘﾄﾞﾝOD錠 1mg「ﾄｰﾜ」,249.25
000113,錠剤,ｱﾑﾛｼﾞﾋﾟﾝOD錠 5mg「ﾄｰﾜ」,1848
003423,錠剤,ｴｽｼﾀﾛﾌﾟﾗﾑ錠 10mg「ﾄｰﾜ」,62
003207,ｶﾌﾟｾﾙ,ｴﾙﾃﾞｶﾙｼﾄｰﾙｶﾌﾟｾﾙ0.5μg「ｻﾜｲ」,249
000490,錠剤,ｶﾛﾅｰﾙ錠500mg,817",2630,504,3134
Usage_3_2.jpg,"002458,錠剤,ﾄﾗｿﾞﾄﾞﾝ塩酸塩錠 50mg「ｱﾒﾙ」,125
002258,錠剤,ﾆﾌｪｼﾞﾋﾟﾝCR錠 40mg 「ﾄｰﾜ」,418
002440,錠剤,ﾍﾞﾗﾌﾟﾛｽﾄNa錠 20μg「NIG」,35
000326,錠剤,ｴﾋﾞﾘﾌｧｲ錠 12mg,19
000920,錠剤,ﾁﾗｰｼﾞﾝS錠 50μg,184
002432,錠剤,ｸｴﾁｱﾋﾟﾝ錠 100mg「ｱﾒﾙ」,307
003056,錠剤,ﾊﾛﾍﾟﾘﾄﾞｰﾙ錠 3mg「ｱﾒﾙ」,0
003029,錠剤,ｾﾚｺｷｼﾌﾞ 錠 100mg「ﾆﾌﾟﾛ」,132
000669,錠剤,ｼﾞｺﾞｼﾝ錠 0.125mg,48.5
000597,錠剤,ｺﾝﾄﾐﾝ糖衣錠 100mg,71
002381,錠剤,ﾍﾞﾆｼﾞﾋﾟﾝ塩酸塩錠4mg「ｻﾜｲ」,244
002256,錠剤,ﾆﾌｪｼﾞﾋﾟﾝCR錠 20mg 「ﾄｰﾜ」,283",2654,406,3060
